Potential Book Prompts,Potential Room Prompts
"Read a book by a marginalized author (ie BIPOC, LGTBQ+)",Visit your local library
Debut author,Read in a local coffee shop/bar/park
Emotion in the title,Read cuddled up with your favorite furry friend
"Book with a dungeon, cave or lair",Create a bookmark to use for this read
New gen author (author in a younger generation than you),
read a book over [100] years old,
roll a d6 and times the number by 100 to read a book in that page range,
"Read a book off of a reading list, blog or popular book club",
read a book from [insert book club name] ,
Any animal on the cover,
tongues: a translated book,
"a retelling of a classic myth, fiary tale, legend or story",
"book with a tv, movie, play adaption",
a book that fits the vibe of a recent dream,
give an author another chance,
single point of view,
hybrid genre,
a book where you've already seen the tv show or movie,
messy character dynamics,
"cozy, comforting or richly immersive",
an awarded book,
popular on socials,
"fits the current season, holiday or weather",
a genre you don't usually read,
"comic, manga, webtoon",
"contains a hobby, sport or activity you enjoy",
far away from home,
a cover that is your favorite color,